line,type,issue,detail
238,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
239,normalize,date_normalized,"{""event_date"": ""2012-07-04T06:00:00Z""}"
240,normalize,date_normalized,"{""event_date"": ""2012-04-24T06:00:00Z""}"
241,normalize,date_normalized,"{""event_date"": ""2010-09-28T06:00:00Z""}"
242,normalize,date_normalized,"{""event_date"": ""2010-06-23T06:00:00Z""}"
243,normalize,date_normalized,"{""event_date"": ""2010-08-18T06:00:00Z""}"
244,normalize,date_normalized,"{""event_date"": ""2011-11-20T07:00:00Z""}"
245,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
246,normalize,date_normalized,"{""event_date"": ""2010-05-19T06:00:00Z""}"
247,normalize,date_normalized,"{""event_date"": ""2009-11-04T07:00:00Z""}"
248,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
249,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
250,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
251,normalize,date_normalized,"{""event_date"": ""2010-03-15T06:00:00Z""}"
252,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
253,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
254,normalize,date_normalized,"{""event_date"": ""2010-10-26T06:00:00Z""}"
255,normalize,date_normalized,"{""event_date"": ""2011-03-02T07:00:00Z""}"
256,normalize,date_normalized,"{""event_date"": ""2011-08-09T06:00:00Z""}"
257,normalize,date_normalized,"{""event_date"": ""2010-12-03T07:00:00Z""}"
258,normalize,date_normalized,"{""event_date"": ""2011-08-05T06:00:00Z""}"
259,normalize,date_normalized,"{""event_date"": ""2011-07-25T06:00:00Z""}"
260,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
261,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
262,normalize,date_normalized,"{""event_date"": ""2011-05-13T06:00:00Z""}"
263,normalize,date_normalized,"{""event_date"": ""2009-08-25T06:00:00Z""}"
264,normalize,date_normalized,"{""event_date"": ""2012-07-12T06:00:00Z""}"
265,normalize,date_normalized,"{""event_date"": ""2012-04-13T06:00:00Z""}"
266,normalize,date_normalized,"{""event_date"": ""2012-03-31T06:00:00Z""}"
267,normalize,date_normalized,"{""event_date"": ""2011-12-16T07:00:00Z""}"
268,normalize,date_normalized,"{""event_date"": ""2010-06-08T06:00:00Z""}"
269,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
270,normalize,date_normalized,"{""event_date"": ""2010-09-28T06:00:00Z""}"
271,normalize,date_normalized,"{""event_date"": ""2012-03-01T07:00:00Z""}"
272,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
273,normalize,date_normalized,"{""event_date"": ""2012-02-22T07:00:00Z""}"
274,normalize,date_normalized,"{""event_date"": ""2011-07-23T06:00:00Z""}"
275,normalize,date_normalized,"{""event_date"": ""2012-07-03T06:00:00Z""}"
276,normalize,date_normalized,"{""event_date"": ""2013-01-24T07:00:00Z""}"
277,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
278,normalize,date_normalized,"{""event_date"": ""2012-04-06T06:00:00Z""}"
279,normalize,date_normalized,"{""event_date"": ""2011-11-20T07:00:00Z""}"
280,normalize,date_normalized,"{""event_date"": ""2012-11-13T07:00:00Z""}"
281,normalize,date_normalized,"{""event_date"": ""2011-08-24T06:00:00Z""}"
282,normalize,date_normalized,"{""event_date"": ""2008-02-19T07:00:00Z""}"
283,normalize,date_normalized,"{""event_date"": ""2009-12-23T07:00:00Z""}"
284,normalize,date_normalized,"{""event_date"": ""2012-06-29T06:00:00Z""}"
285,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
286,normalize,date_normalized,"{""event_date"": ""2010-10-21T06:00:00Z""}"
287,normalize,date_normalized,"{""event_date"": ""2010-05-01T06:00:00Z""}"
288,normalize,date_normalized,"{""event_date"": ""2011-05-05T06:00:00Z""}"
289,normalize,date_normalized,"{""event_date"": ""2011-05-28T06:00:00Z""}"
290,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
291,normalize,date_normalized,"{""event_date"": ""2009-04-27T06:00:00Z""}"
292,normalize,date_normalized,"{""event_date"": ""2009-08-25T06:00:00Z""}"
293,normalize,date_normalized,"{""event_date"": ""2011-04-14T06:00:00Z""}"
294,normalize,date_normalized,"{""event_date"": ""2010-08-16T06:00:00Z""}"
295,normalize,date_normalized,"{""event_date"": ""2011-03-09T07:00:00Z""}"
296,normalize,date_normalized,"{""event_date"": ""2012-03-29T06:00:00Z""}"
297,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
298,normalize,date_normalized,"{""event_date"": ""2012-06-09T06:00:00Z""}"
299,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
300,normalize,date_normalized,"{""event_date"": ""2011-03-09T07:00:00Z""}"
301,normalize,date_normalized,"{""event_date"": ""2011-09-16T06:00:00Z""}"
302,normalize,date_normalized,"{""event_date"": ""2013-07-26T06:00:00Z""}"
303,normalize,date_normalized,"{""event_date"": ""2010-06-08T06:00:00Z""}"
304,normalize,date_normalized,"{""event_date"": ""2010-09-27T06:00:00Z""}"
305,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
306,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
307,normalize,date_normalized,"{""event_date"": ""2011-10-19T06:00:00Z""}"
308,normalize,date_normalized,"{""event_date"": ""2011-03-27T06:00:00Z""}"
309,normalize,date_normalized,"{""event_date"": ""2012-04-13T06:00:00Z""}"
310,normalize,date_normalized,"{""event_date"": ""2012-03-06T07:00:00Z""}"
311,normalize,date_normalized,"{""event_date"": ""2018-04-13T06:00:00Z""}"
